"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","473","Test Offset Based Paging With Iterator","End To End Tests","Thu Feb 27 11:09:10 GMT 2025","passed","Thu Feb 27 11:09:10 GMT 2025","","Native Typescript Client","",""
"","227","testFindById()","","Thu Feb 27 11:06:11 GMT 2025","passed","Thu Feb 27 11:06:12 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","548","testSearch()","","Thu Feb 27 11:06:12 GMT 2025","passed","Thu Feb 27 11:06:13 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testSearch"
"","181","Test Update Fails","End To End Tests","Thu Feb 27 11:09:12 GMT 2025","passed","Thu Feb 27 11:09:12 GMT 2025","","Native Typescript Client","",""
"","536","testCountByQuery()","","Thu Feb 27 11:06:09 GMT 2025","passed","Thu Feb 27 11:06:10 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCountByQuery"
"","311","bulkSaveObjectWithMultipleIds()","","Thu Feb 27 11:06:00 GMT 2025","passed","Thu Feb 27 11:06:00 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","858","Test CountByQuery","End To End Tests","Thu Feb 27 11:09:04 GMT 2025","passed","Thu Feb 27 11:09:05 GMT 2025","","Native Typescript Client","",""
"","7","createStructureInvalidField()","","Thu Feb 27 11:06:16 GMT 2025","passed","Thu Feb 27 11:06:16 GMT 2025","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","createStructureInvalidField"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","","Thu Feb 27 11:06:16 GMT 2025","passed","Thu Feb 27 11:06:16 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","213","testPartialUpdate()","","Thu Feb 27 11:06:11 GMT 2025","passed","Thu Feb 27 11:06:11 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testPartialUpdate"
"","4366","Test Basic CRUD","End To End Tests","Thu Feb 27 11:09:07 GMT 2025","passed","Thu Feb 27 11:09:11 GMT 2025","","Native Typescript Client","",""
"","187","findMissingEntity()","","Thu Feb 27 11:06:12 GMT 2025","passed","Thu Feb 27 11:06:12 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","findMissingEntity"
